iter	Logloss
0	0.6921133176
1	0.6913455231
2	0.6904021754
3	0.6894918114
4	0.6881738528
5	0.6871279322
6	0.685996624
7	0.6848022769
8	0.6840544421
9	0.6831360634
10	0.6818113231
11	0.6812332616
12	0.6805140948
13	0.6797186341
14	0.6788553565
15	0.6779422953
16	0.6771554658
17	0.6765053489
18	0.6754922578
19	0.6740121552
20	0.6730146312
21	0.6720769863
22	0.6710667466
23	0.6698737096
24	0.6689465455
25	0.6678788156
26	0.6670461327
27	0.6660036029
28	0.6647459088
29	0.6638971194
30	0.6629620176
31	0.662177423
32	0.6615394823
33	0.6608367303
34	0.6601866134
35	0.6591665865
36	0.6582391142
37	0.657593467
38	0.6566399468
39	0.6558167429
40	0.6552530154
41	0.6548978247
42	0.6539433797
43	0.6532713765
44	0.6525312482
45	0.65157295
46	0.6506211252
47	0.6494532113
48	0.6487509988
49	0.6481079718
50	0.6475632793
51	0.6464691162
52	0.6453416227
53	0.6443790089
54	0.6438264943
55	0.6428767118
56	0.6419597587
57	0.6414693197
58	0.6407703438
59	0.6399733418
60	0.6390974257
61	0.6385059935
62	0.6378855079
63	0.6370317864
64	0.6364483303
65	0.6358015658
66	0.635128291
67	0.6346492189
68	0.6340775153
69	0.6332323479
70	0.6324845516
71	0.6317436912
72	0.6308508208
73	0.630164946
74	0.6293291419
75	0.6281848869
76	0.6273530132
77	0.6266205142
78	0.6258890171
79	0.6251316263
80	0.6245299445
81	0.6235030203
82	0.6227279047
83	0.6220854172
84	0.6215871946
85	0.6210222341
86	0.62033135
87	0.6196366898
88	0.6192999946
89	0.6185726975
90	0.6176768216
91	0.6169274841
92	0.6163084627
93	0.6157464307
94	0.6152428521
95	0.6148071674
96	0.6140058113
97	0.6133269493
98	0.6124977728
99	0.611743349
100	0.6113194938
101	0.6106125417
102	0.610011515
103	0.6091861918
104	0.6086702443
105	0.6082674277
106	0.6077815354
107	0.606942803
108	0.6064120591
109	0.605758667
110	0.6053833624
111	0.6047920073
112	0.6044159706
113	0.6032593852
114	0.6027187771
115	0.6023031678
116	0.6016492362
117	0.6008232194
118	0.5999236444
119	0.5995367031
120	0.598838652
121	0.5983866682
122	0.5979823103
123	0.5971705889
124	0.596436934
125	0.5957875107
126	0.5950806743
127	0.59458276
128	0.5939955278
129	0.5933689156
130	0.5928651829
131	0.5923122059
132	0.5918722442
133	0.5913831923
134	0.5909333663
135	0.5903483304
136	0.5896471197
137	0.5889993918
138	0.5884600553
139	0.5878362559
140	0.5870087364
141	0.5864525227
142	0.5858483748
143	0.5850894812
144	0.5845193189
145	0.5838626129
146	0.5834154842
147	0.5828959918
148	0.5823709507
149	0.5819150366
150	0.581396546
151	0.580771321
152	0.5800965049
153	0.5794298577
154	0.5788274823
155	0.5783067183
156	0.5776864639
157	0.5769166272
158	0.5765075298
159	0.5759286592
160	0.5754063539
161	0.5745236561
162	0.5742687264
163	0.5736170297
164	0.5730927593
165	0.5729236795
166	0.5725344648
167	0.5719881154
168	0.5714915882
169	0.5709798794
170	0.5702918467
171	0.569549522
172	0.5687384557
173	0.5681107261
174	0.5676214815
175	0.5671842941
176	0.5666239575
177	0.5663925325
178	0.5656359509
179	0.5649402503
180	0.5643886605
181	0.5637574629
182	0.563267178
183	0.5629418884
184	0.5622187913
185	0.5617510863
186	0.5611799221
187	0.5606213194
188	0.5601320363
189	0.5593978419
190	0.55883003
191	0.5585831151
192	0.5579289138
193	0.5574275315
194	0.5570072598
195	0.5565580118
196	0.5561034848
197	0.5557262536
198	0.5551010286
199	0.5545277836
200	0.5539886783
201	0.553629249
202	0.5529776679
203	0.5526697178
204	0.5522573452
205	0.5516986269
206	0.5512780854
207	0.5507805564
208	0.5502875742
209	0.5497985609
210	0.5495291816
211	0.548801923
212	0.5484843784
213	0.5479186472
214	0.5474340265
215	0.5470878524
216	0.5466211492
217	0.5459331936
218	0.5453220329
219	0.5447839294
220	0.5444316671
221	0.5438879764
222	0.5435668868
223	0.5430888166
224	0.5425549517
225	0.5422120913
226	0.541935545
227	0.5414839851
228	0.540682783
229	0.5400676535
230	0.5396286165
231	0.5390701294
232	0.5387577095
233	0.5381991454
234	0.5377930535
235	0.5370038736
236	0.5367133401
237	0.5360907352
238	0.5355720135
239	0.5351056186
240	0.5344343089
241	0.5338985944
242	0.5336337619
243	0.5333514743
244	0.5329987497
245	0.5326178965
246	0.5323592292
247	0.5319070142
248	0.5316284642
249	0.5313017489
250	0.5309657858
251	0.5304928404
252	0.5300032876
253	0.5294498482
254	0.5287215878
255	0.5283629292
256	0.5279994155
257	0.527585309
258	0.5272187512
259	0.52678954
260	0.5263060753
261	0.5256974191
262	0.5250621757
263	0.5245653403
264	0.5242599718
265	0.5239125261
266	0.5235152582
267	0.5232063448
268	0.5227915446
269	0.5223543572
270	0.5218526667
271	0.5215494946
272	0.5212017021
273	0.5206881436
274	0.5204247369
275	0.5200191074
276	0.5196061568
277	0.5190793047
278	0.5187979804
279	0.5183066166
280	0.5176775383
281	0.5171720331
282	0.5167177759
283	0.5163962239
284	0.5159820403
285	0.5154456707
286	0.5149190498
287	0.5144887597
288	0.5141622755
289	0.5136474455
290	0.5133528661
291	0.5129042731
292	0.5125407595
293	0.5120660416
294	0.5115253949
295	0.5108253017
296	0.5102052785
297	0.5096600465
298	0.5091040255
299	0.5086230654
300	0.5080155267
301	0.5077366684
302	0.5075096747
303	0.5071247756
304	0.5066653165
305	0.5061024367
306	0.5058414575
307	0.5056432474
308	0.505066573
309	0.5045921249
310	0.5041228786
311	0.503729117
312	0.5029687592
313	0.5026243576
314	0.5023401434
315	0.5017126835
316	0.5013275917
317	0.5007976571
318	0.5003134217
319	0.4999585392
320	0.4997861072
321	0.4993271876
322	0.4986514467
323	0.4982444301
324	0.497741468
325	0.4969117136
326	0.4966112387
327	0.4963216685
328	0.4959319144
329	0.4954444038
330	0.4950628184
331	0.4947928612
332	0.4945446361
333	0.4940850614
334	0.4936064133
335	0.4933757204
336	0.4929941351
337	0.4925641917
338	0.4921261566
339	0.4919875559
340	0.4915089077
341	0.4909195563
342	0.4903206873
343	0.4898724026
344	0.4891881461
345	0.4888809281
346	0.4884909042
347	0.4881462714
348	0.4878772003
349	0.4874511102
350	0.4869031039
351	0.486509458
352	0.4860821348
353	0.4857687517
354	0.4853238963
355	0.484902931
356	0.4843864441
357	0.4838838674
358	0.4836363359
359	0.4831703263
360	0.4827178801
361	0.48248449
362	0.4820944276
363	0.4818297107
364	0.4813139174
365	0.4809951012
366	0.4806593693
367	0.4802454553
368	0.4795640117
369	0.4790690258
370	0.4787677033
371	0.4780970487
372	0.4778376878
373	0.477506233
374	0.4770377573
375	0.4766119369
376	0.4760544902
377	0.4757796008
378	0.4754095367
379	0.4752484331
380	0.4750165072
381	0.4747043186
382	0.4741514572
383	0.4738289419
384	0.4734728264
385	0.4729677451
386	0.472464205
387	0.4720292525
388	0.4716564911
389	0.4710536918
390	0.470846311
391	0.4705067644
392	0.4702000088
393	0.4696041454
394	0.4693670176
395	0.4689316412
396	0.4683343907
397	0.467998312
398	0.4676102532
399	0.4673098555
400	0.4670454854
401	0.466552927
402	0.4660777853
403	0.4656971633
404	0.4652382822
405	0.4649742204
406	0.4645098677
407	0.4639902597
408	0.4636859316
409	0.4634252991
410	0.4631686355
411	0.4630011356
412	0.4625750455
413	0.4622405852
414	0.4618620054
415	0.4616193675
416	0.4610469703
417	0.460783602
418	0.4603938864
419	0.4598293882
420	0.4596153028
421	0.4592063981
422	0.4589450721
423	0.4583507114
424	0.4580984405
425	0.4574517144
426	0.4570481271
427	0.4566935915
428	0.4564736106
429	0.4559010978
430	0.4556158817
431	0.4553471575
432	0.4550971214
433	0.4547806171
434	0.454494669
435	0.4542961121
436	0.4540384851
437	0.4537846729
438	0.4534021628
439	0.4532751218
440	0.4529127256
441	0.4526854621
442	0.4522094727
443	0.4517100556
444	0.4511079499
445	0.4508439266
446	0.4504723212
447	0.4503252434
448	0.450004385
449	0.4497268754
450	0.4493682168
451	0.448918699
452	0.4486378756
453	0.4480669426
454	0.4476783059
455	0.44746607
456	0.4471770007
457	0.4468593405
458	0.4464386063
459	0.4458127263
460	0.445637019
461	0.4453909518
462	0.4449319165
463	0.4444629399
464	0.4440756904
465	0.4438357112
466	0.4435584328
467	0.4433091674
468	0.4429256555
469	0.4426879883
470	0.4421584004
471	0.4419569921
472	0.4415770251
473	0.4414568814
474	0.4411704709
475	0.4410141454
476	0.4407699277
477	0.44045535
478	0.440143932
479	0.4398295855
480	0.4395204795
481	0.4389671557
482	0.4386376275
483	0.4384255457
484	0.4379505196
485	0.4375339855
486	0.4372537786
487	0.4370112178
488	0.4365407385
489	0.4363306604
490	0.4359484201
491	0.435463337
492	0.4352783434
493	0.4347238252
494	0.4344035447
495	0.4338637073
496	0.4332514291
497	0.4328150123
498	0.4324887208
499	0.4322208443
500	0.4316385057
501	0.431244513
502	0.4308379202
503	0.4304482046
504	0.4301741244
505	0.4299277874
506	0.429605195
507	0.429139301
508	0.4289591625
509	0.4286869704
510	0.4282429242
511	0.4280542701
512	0.4276932225
513	0.4273494374
514	0.4271209794
515	0.4268821948
516	0.4266214082
517	0.4263125333
518	0.4261002203
519	0.4257799399
520	0.4253307689
521	0.4250254005
522	0.4247080485
523	0.4244672217
524	0.4242091323
525	0.4238789106
526	0.4237667816
527	0.4233479355
528	0.422987543
529	0.4224532156
530	0.4221663812
531	0.4217920014
532	0.4213293442
533	0.420958124
534	0.4203628386
535	0.4201399678
536	0.4196838225
537	0.4193535236
538	0.4190719296
539	0.41868048
540	0.4182551991
541	0.4178938432
542	0.417490911
543	0.4171436965
544	0.416738067
545	0.416508376
546	0.4161809285
547	0.4158726317
548	0.4154496626
549	0.4151471841
550	0.4149455061
551	0.4147147362
552	0.4144981847
553	0.4142369742
554	0.414068511
555	0.4136465053
556	0.4132816816
557	0.4129688764
558	0.4127140238
559	0.4123693139
560	0.4120966593
561	0.4114947849
562	0.4110750911
563	0.4108564974
564	0.4106965498
565	0.4102081145
566	0.4099559591
567	0.4097754739
568	0.4094920688
569	0.4093142423
570	0.4090742631
571	0.4089730388
572	0.4086858961
573	0.4083142521
574	0.4080405958
575	0.4075574008
576	0.4072504911
577	0.4069953302
578	0.4066562845
579	0.4061769428
580	0.405988674
581	0.4057484636
582	0.4055194662
583	0.4052893899
584	0.405004405
585	0.4047534827
586	0.4045713791
587	0.404314176
588	0.4038626546
589	0.403302973
590	0.4030210322
591	0.4026797902
592	0.4024817727
593	0.4022385568
594	0.4018953111
595	0.4015220103
596	0.4011607315
597	0.4007011953
598	0.4003239256
599	0.4002049764
600	0.3999942818
601	0.3996116946
602	0.3991233749
603	0.3988180835
604	0.3986448038
605	0.3981130581
606	0.3978077282
607	0.3972766761
608	0.3970027885
609	0.3966855521
610	0.3964920815
611	0.396253528
612	0.395865161
613	0.3954468929
614	0.3951757412
615	0.3948634369
616	0.3943672565
617	0.3940728698
618	0.3938526192
619	0.3936201153
620	0.3932170675
621	0.3928952458
622	0.3925116183
623	0.3922574592
624	0.3920409848
625	0.3917590825
626	0.3915298539
627	0.3912870234
628	0.3909705962
629	0.3906639562
630	0.3904593111
631	0.3902316623
632	0.3898740826
633	0.3895376572
634	0.3894002125
635	0.3891343396
636	0.3889867609
637	0.3886799668
638	0.3883401119
639	0.3879905855
640	0.3875102804
641	0.3872814756
642	0.3870595296
643	0.3868371983
644	0.3865225436
645	0.3860628147
646	0.3858619459
647	0.3852890862
648	0.3850699531
649	0.3848960568
650	0.3846313785
651	0.3844248454
652	0.3840562454
653	0.3838605014
654	0.3835066208
655	0.3832570086
656	0.3829047463
657	0.382736129
658	0.3824746103
659	0.3821528271
660	0.3819432499
661	0.3818278843
662	0.3813905427
663	0.3811106441
664	0.380803272
665	0.380542023
666	0.3800877272
667	0.3794116396
668	0.3792462204
669	0.3789714466
670	0.3786119789
671	0.3782402578
672	0.378050756
673	0.3778668028
674	0.3775361572
675	0.3772935193
676	0.3770963881
677	0.3767575351
678	0.3764907375
679	0.3761945397
680	0.3757028291
681	0.3755315916
682	0.3752886069
683	0.3750576828
684	0.3747785934
685	0.3745279408
686	0.3742194128
687	0.3740584248
688	0.3737528252
689	0.3735252149
690	0.3731667104
691	0.3729765921
692	0.3727325285
693	0.372525456
694	0.3723735617
695	0.372049428
696	0.3718228966
697	0.3715078951
698	0.3710989133
699	0.3709115308
700	0.3705952962
701	0.3702389496
702	0.3700385046
703	0.3697878905
704	0.3696338384
705	0.3692709027
706	0.3688839999
707	0.3683752965
708	0.3682367344
709	0.3680248068
710	0.3677650991
711	0.3675119805
712	0.3672182873
713	0.3671246538
714	0.3667726613
715	0.3665168839
716	0.3663497308
717	0.3661419647
718	0.3658718533
719	0.365745005
720	0.3654486146
721	0.3652367255
722	0.3648892027
723	0.3647424717
724	0.3643815397
725	0.3641565882
726	0.3640120535
727	0.3636834116
728	0.3634039754
729	0.3630530232
730	0.3628226771
731	0.3626535204
732	0.3624565047
733	0.3620467523
734	0.3618072356
735	0.3613461196
736	0.3611259846
737	0.3607856288
738	0.3605733544
739	0.360281742
740	0.3598995016
741	0.3597617872
742	0.3594532976
743	0.359277205
744	0.3590285176
745	0.3587695806
746	0.3586135248
747	0.358096537
748	0.3577793391
749	0.3575727289
750	0.3574217979
751	0.3572008923
752	0.3569436507
753	0.3568259345
754	0.3566472603
755	0.3564095545
756	0.3561547019
757	0.3558617409
758	0.3555866588
759	0.3553708009
760	0.3551183758
761	0.3547009555
762	0.3544024843
763	0.3541279032
764	0.353723237
765	0.3533033121
766	0.3531556178
767	0.3529266203
768	0.3527247111
769	0.352252151
770	0.3519956801
771	0.3515474724
772	0.3513987377
773	0.3512241864
774	0.3507939348
775	0.3505448621
776	0.3502314404
777	0.3499394041
778	0.349648755
779	0.3493699353
780	0.3489770215
781	0.3488469365
782	0.3481547423
783	0.3479313321
784	0.3476486977
785	0.3474042103
786	0.3471783725
787	0.3470226635
788	0.3467121317
789	0.3465020921
790	0.3462994123
791	0.3460492991
792	0.3457808061
793	0.3453739821
794	0.3450329713
795	0.344644296
796	0.3443530304
797	0.3441536643
798	0.3437701909
799	0.3434798886
800	0.3431288979
801	0.342975077
802	0.3425745338
803	0.3421771117
804	0.3419671492
805	0.3417337591
806	0.3415536592
807	0.3413920932
808	0.3412397751
809	0.3408774559
810	0.3406398658
811	0.3402750805
812	0.3400588373
813	0.3397946599
814	0.3395623486
815	0.3391783743
816	0.3388669948
817	0.3384001761
818	0.3380852131
819	0.3375106966
820	0.3371720362
821	0.3368286749
822	0.3364659319
823	0.3361484258
824	0.3357749708
825	0.3353424072
826	0.3349584714
827	0.3347118647
828	0.3344090394
829	0.3341986531
830	0.3340394762
831	0.3338000365
832	0.3334849194
833	0.3331304223
834	0.3328165767
835	0.3324885513
836	0.3323091834
837	0.3318346968
838	0.3316079342
839	0.3313961607
840	0.3311552568
841	0.3306921371
842	0.3304126624
843	0.3301735695
844	0.3299216839
845	0.3294439605
846	0.3292040199
847	0.3288571907
848	0.3286474979
849	0.3283986564
850	0.3279127641
851	0.3275880139
852	0.3272936657
853	0.3271331402
854	0.3269236401
855	0.3265454841
856	0.3263110922
857	0.3259807933
858	0.3257304876
859	0.3253841207
860	0.3251170149
861	0.3248456704
862	0.324338624
863	0.3240816136
864	0.3237731625
865	0.3234731501
866	0.3232314755
867	0.3229541008
868	0.3227409209
869	0.322532885
870	0.322168408
871	0.3219346133
872	0.3216157971
873	0.3213704427
874	0.3211961226
875	0.3209183433
876	0.3207246607
877	0.3203692966
878	0.3200181711
879	0.3197138815
880	0.3194447912
881	0.3192213425
882	0.3188301241
883	0.3183006903
884	0.3180053981
885	0.3175703684
886	0.3171860473
887	0.3170700073
888	0.3167260295
889	0.3162339336
890	0.3158639657
891	0.3153634505
892	0.315061261
893	0.314777644
894	0.3145434832
895	0.3142762232
896	0.3140606736
897	0.3137766906
898	0.313499547
899	0.3132447907
900	0.3129363782
901	0.3125967546
902	0.3123657149
903	0.3120897852
904	0.3119346927
905	0.3117221485
906	0.3113969552
907	0.3110443655
908	0.3108848996
909	0.3104874197
910	0.3101898733
911	0.3098756424
912	0.3096702845
913	0.3092975038
914	0.3088467145
915	0.3083510158
916	0.308143057
917	0.3078046857
918	0.3075372523
919	0.3072679308
920	0.3069420246
921	0.3065811311
922	0.306246247
923	0.3058702873
924	0.30571296
925	0.3053740299
926	0.3051036103
927	0.3048603366
928	0.304513546
929	0.3043066853
930	0.3038654905
931	0.3034205967
932	0.303232559
933	0.3027823477
934	0.3025576274
935	0.3022847802
936	0.3021136005
937	0.3017893897
938	0.3014545248
939	0.3011275397
940	0.3007881087
941	0.3006105519
942	0.3001542332
943	0.2998560896
944	0.2996665107
945	0.2993671918
946	0.2990871006
947	0.2988327489
948	0.2985153969
949	0.2982982481
950	0.2980093523
951	0.2976861434
952	0.2974458367
953	0.2973017066
954	0.2970205365
955	0.2967414471
956	0.2963889344
957	0.2960789998
958	0.2959350817
959	0.2956253784
960	0.2952146626
961	0.2949462659
962	0.2944986748
963	0.2942102413
964	0.2939867347
965	0.2939118857
966	0.2937026361
967	0.2935702006
968	0.293313248
969	0.2930844625
970	0.2929010102
971	0.2927365929
972	0.2926786789
973	0.2922929899
974	0.2921212129
975	0.291850851
976	0.2915688139
977	0.2913647469
978	0.2910847519
979	0.2908537894
980	0.290722086
981	0.290484727
982	0.2901686851
983	0.2898377313
984	0.2894643533
985	0.2891855336
986	0.2890389375
987	0.2888051235
988	0.2885142432
989	0.2883247992
990	0.287992015
991	0.2877606286
992	0.2876277114
993	0.2873007649
994	0.287130221
995	0.2868099213
996	0.286482339
997	0.2859994137
998	0.2857000563
999	0.2854266889
8
4
