iter	Passed	Remaining
0	175	175720
1	233	116498
2	272	90498
3	304	75926
4	343	68422
5	376	62314
6	404	57425
7	438	54337
8	473	52153
9	490	48527
10	523	47084
11	549	45277
12	566	43012
13	594	41866
14	617	40580
15	632	38918
16	651	37660
17	693	37824
18	724	37391
19	746	36578
20	774	36100
21	797	35461
22	835	35500
23	863	35120
24	898	35035
25	920	34480
26	950	34263
27	978	33982
28	1008	33775
29	1051	33987
30	1071	33493
31	1096	33176
32	1127	33039
33	1161	33002
34	1181	32569
35	1217	32593
36	1234	32118
37	1267	32084
38	1299	32023
39	1328	31890
40	1349	31562
41	1383	31551
42	1420	31607
43	1438	31264
44	1468	31170
45	1512	31362
46	1528	30995
47	1549	30729
48	1583	30729
49	1603	30459
50	1626	30261
51	1652	30119
52	1681	30042
53	1709	29947
54	1740	29907
55	1770	29841
56	1801	29799
57	1835	29807
58	1863	29716
59	1901	29786
60	1922	29598
61	1947	29456
62	1985	29533
63	2022	29586
64	2048	29460
65	2073	29339
66	2101	29270
67	2144	29397
68	2168	29259
69	2183	29015
70	2210	28927
71	2236	28827
72	2261	28720
73	2289	28651
74	2318	28598
75	2334	28386
76	2367	28380
77	2396	28323
78	2422	28241
79	2449	28168
80	2473	28058
81	2498	27973
82	2526	27915
83	2558	27904
84	2578	27754
85	2604	27684
86	2630	27607
87	2661	27585
88	2704	27682
89	2749	27805
90	2774	27718
91	2804	27681
92	2847	27769
93	2872	27687
94	2906	27692
95	2936	27649
96	2974	27687
97	3009	27703
98	3057	27829
99	3101	27910
100	3133	27892
101	3150	27740
102	3184	27733
103	3214	27692
104	3249	27694
105	3276	27634
106	3307	27604
107	3336	27557
108	3355	27431
109	3388	27412
110	3433	27495
111	3450	27356
112	3483	27341
113	3514	27313
114	3539	27237
115	3570	27209
116	3600	27171
117	3634	27168
118	3667	27151
119	3696	27111
120	3738	27161
121	3772	27149
122	3805	27132
123	3832	27073
124	3861	27031
125	3882	26927
126	3906	26855
127	3930	26773
128	3953	26695
129	3982	26655
130	4007	26581
131	4039	26559
132	4070	26535
133	4086	26412
134	4115	26369
135	4154	26391
136	4181	26339
137	4208	26286
138	4234	26232
139	4264	26195
140	4289	26130
141	4316	26080
142	4349	26068
143	4367	25959
144	4382	25843
145	4406	25775
146	4423	25669
147	4446	25600
148	4480	25588
149	4513	25577
150	4528	25464
151	4565	25468
152	4589	25409
153	4630	25439
154	4666	25442
155	4686	25354
156	4712	25300
157	4739	25254
158	4778	25275
159	4820	25305
160	4845	25251
161	4880	25244
162	4915	25242
163	4941	25190
164	4970	25153
165	4987	25060
166	5010	24994
167	5045	24987
168	5070	24932
169	5095	24877
170	5119	24820
171	5143	24759
172	5167	24701
173	5199	24680
174	5236	24686
175	5257	24613
176	5287	24585
177	5321	24574
178	5349	24533
179	5380	24509
180	5400	24437
181	5428	24396
182	5453	24347
183	5483	24317
184	5511	24279
185	5540	24245
186	5583	24274
187	5616	24257
188	5647	24232
189	5679	24212
190	5713	24200
191	5739	24153
192	5766	24111
193	5800	24099
194	5827	24057
195	5850	24000
196	5865	23909
197	5894	23875
198	5920	23829
199	5957	23828
200	5977	23762
201	6004	23722
202	6042	23725
203	6068	23680
204	6096	23643
205	6128	23621
206	6152	23567
207	6174	23510
208	6200	23468
209	6221	23406
210	6242	23344
211	6267	23296
212	6290	23242
213	6309	23172
214	6329	23108
215	6345	23031
216	6380	23023
217	6409	22993
218	6442	22974
219	6470	22941
220	6492	22885
221	6521	22853
222	6536	22775
223	6556	22712
224	6585	22684
225	6598	22599
226	6624	22557
227	6661	22556
228	6682	22499
229	6721	22501
230	6748	22464
231	6769	22410
232	6807	22409
233	6843	22401
234	6861	22337
235	6884	22286
236	6921	22283
237	6950	22254
238	6977	22217
239	6998	22161
240	7019	22108
241	7039	22048
242	7073	22036
243	7099	21996
244	7128	21968
245	7150	21916
246	7178	21882
247	7208	21856
248	7241	21839
249	7270	21810
250	7297	21777
251	7329	21754
252	7349	21700
253	7371	21649
254	7406	21638
255	7427	21587
256	7450	21540
257	7466	21474
258	7494	21442
259	7521	21408
260	7548	21372
261	7575	21338
262	7609	21323
263	7646	21318
264	7672	21279
265	7693	21230
266	7721	21198
267	7740	21140
268	7760	21089
269	7783	21043
270	7815	21023
271	7847	21002
272	7872	20964
273	7905	20946
274	7930	20906
275	7952	20860
276	7996	20871
277	8018	20825
278	8049	20802
279	8074	20763
280	8100	20726
281	8134	20711
282	8162	20680
283	8193	20656
284	8224	20632
285	8251	20598
286	8286	20586
287	8320	20571
288	8345	20531
289	8368	20488
290	8406	20481
291	8430	20441
292	8459	20412
293	8486	20379
294	8508	20333
295	8531	20292
296	8553	20246
297	8586	20226
298	8606	20176
299	8643	20167
300	8666	20126
301	8686	20076
302	8721	20062
303	8750	20033
304	8776	19998
305	8805	19971
306	8833	19939
307	8849	19883
308	8878	19854
309	8898	19807
310	8932	19789
311	8960	19758
312	8988	19729
313	9019	19704
314	9052	19685
315	9074	19642
316	9101	19608
317	9127	19575
318	9144	19521
319	9160	19465
320	9178	19415
321	9212	19397
322	9247	19381
323	9278	19358
324	9307	19331
325	9327	19285
326	9355	19255
327	9382	19222
328	9412	19196
329	9448	19183
330	9472	19144
331	9497	19109
332	9533	19095
333	9566	19076
334	9596	19050
335	9622	19016
336	9648	18983
337	9680	18959
338	9712	18936
339	9758	18943
340	9785	18910
341	9805	18865
342	9833	18835
343	9858	18800
344	9888	18774
345	9931	18772
346	9965	18753
347	10007	18750
348	10029	18707
349	10055	18674
350	10075	18630
351	10097	18587
352	10134	18575
353	10163	18547
354	10189	18512
355	10212	18473
356	10237	18439
357	10254	18388
358	10281	18358
359	10309	18327
360	10338	18300
361	10362	18262
362	10394	18240
363	10427	18220
364	10456	18192
365	10490	18171
366	10520	18145
367	10551	18120
368	10576	18086
369	10608	18062
370	10639	18038
371	10667	18008
372	10694	17976
373	10725	17953
374	10749	17916
375	10784	17898
376	10808	17861
377	10837	17833
378	10868	17807
379	10898	17781
380	10917	17738
381	10944	17705
382	10973	17678
383	10994	17637
384	11027	17614
385	11042	17564
386	11080	17551
387	11105	17516
388	11121	17468
389	11151	17442
390	11184	17419
391	11221	17404
392	11247	17371
393	11277	17346
394	11311	17324
395	11345	17305
396	11391	17302
397	11411	17260
398	11441	17234
399	11459	17189
400	11488	17160
401	11517	17132
402	11539	17094
403	11563	17059
404	11583	17017
405	11598	16969
406	11628	16943
407	11658	16916
408	11692	16896
409	11712	16854
410	11737	16820
411	11756	16779
412	11780	16743
413	11797	16699
414	11823	16666
415	11845	16628
416	11867	16591
417	11894	16561
418	11918	16527
419	11945	16495
420	11972	16466
421	11996	16430
422	12024	16402
423	12058	16381
424	12084	16349
425	12121	16333
426	12156	16313
427	12195	16298
428	12224	16271
429	12256	16246
430	12284	16218
431	12312	16188
432	12340	16159
433	12359	16119
434	12384	16086
435	12407	16050
436	12435	16020
437	12465	15993
438	12490	15961
439	12513	15926
440	12537	15892
441	12559	15855
442	12606	15850
443	12640	15829
444	12662	15793
445	12693	15767
446	12718	15734
447	12736	15693
448	12764	15664
449	12787	15628
450	12806	15588
451	12831	15556
452	12857	15525
453	12887	15498
454	12914	15469
455	12944	15442
456	12969	15410
457	12995	15378
458	13015	15340
459	13040	15308
460	13064	15275
461	13081	15233
462	13111	15207
463	13136	15175
464	13172	15155
465	13181	15105
466	13214	15082
467	13237	15047
468	13265	15019
469	13291	14988
470	13324	14965
471	13356	14940
472	13386	14914
473	13415	14887
474	13446	14861
475	13477	14836
476	13497	14798
477	13527	14773
478	13557	14746
479	13592	14724
480	13615	14690
481	13643	14662
482	13661	14623
483	13692	14597
484	13728	14577
485	13755	14548
486	13787	14524
487	13823	14502
488	13852	14475
489	13888	14455
490	13925	14436
491	13958	14412
492	13982	14379
493	14012	14352
494	14036	14319
495	14064	14291
496	14093	14264
497	14133	14246
498	14155	14212
499	14184	14184
500	14208	14151
501	14236	14123
502	14269	14098
503	14309	14082
504	14322	14038
505	14344	14004
506	14372	13976
507	14403	13950
508	14441	13930
509	14477	13909
510	14512	13887
511	14541	13859
512	14572	13833
513	14591	13796
514	14615	13764
515	14633	13725
516	14669	13705
517	14705	13683
518	14730	13651
519	14757	13622
520	14781	13589
521	14805	13557
522	14840	13534
523	14858	13497
524	14881	13464
525	14926	13451
526	14962	13429
527	15003	13411
528	15034	13386
529	15060	13355
530	15074	13314
531	15103	13286
532	15131	13257
533	15162	13231
534	15191	13203
535	15210	13167
536	15250	13148
537	15276	13118
538	15304	13089
539	15329	13058
540	15352	13025
541	15381	12997
542	15401	12962
543	15424	12929
544	15451	12899
545	15475	12868
546	15498	12835
547	15532	12811
548	15550	12774
549	15592	12757
550	15611	12721
551	15643	12696
552	15663	12661
553	15704	12643
554	15746	12625
555	15771	12594
556	15802	12568
557	15833	12542
558	15858	12511
559	15891	12486
560	15921	12458
561	15940	12423
562	15971	12396
563	16005	12373
564	16030	12342
565	16045	12303
566	16065	12268
567	16099	12244
568	16123	12212
569	16148	12182
570	16177	12154
571	16205	12125
572	16226	12092
573	16247	12058
574	16278	12031
575	16302	12000
576	16340	11979
577	16369	11951
578	16409	11931
579	16440	11905
580	16465	11874
581	16495	11847
582	16514	11812
583	16549	11788
584	16585	11765
585	16628	11747
586	16661	11722
587	16691	11695
588	16710	11660
589	16733	11628
590	16752	11593
591	16772	11559
592	16796	11527
593	16827	11501
594	16850	11469
595	16875	11439
596	16905	11412
597	16925	11378
598	16957	11351
599	16985	11323
600	17004	11289
601	17026	11256
602	17036	11216
603	17061	11186
604	17082	11153
605	17099	11117
606	17123	11086
607	17154	11059
608	17180	11030
609	17204	10999
610	17232	10971
611	17266	10946
612	17287	10913
613	17307	10880
614	17329	10848
615	17350	10815
616	17375	10785
617	17388	10748
618	17421	10723
619	17447	10693
620	17465	10659
621	17497	10633
622	17525	10605
623	17560	10581
624	17588	10553
625	17615	10524
626	17635	10491
627	17658	10459
628	17685	10431
629	17703	10397
630	17722	10363
631	17748	10334
632	17776	10306
633	17806	10279
634	17832	10250
635	17865	10225
636	17894	10197
637	17915	10165
638	17953	10142
639	17976	10111
640	18004	10083
641	18025	10051
642	18049	10021
643	18075	9992
644	18100	9962
645	18113	9925
646	18127	9890
647	18173	9871
648	18204	9845
649	18226	9814
650	18251	9784
651	18280	9757
652	18309	9729
653	18326	9695
654	18354	9667
655	18373	9634
656	18402	9607
657	18422	9575
658	18444	9543
659	18465	9512
660	18480	9478
661	18511	9451
662	18534	9421
663	18547	9385
664	18569	9354
665	18593	9324
666	18615	9293
667	18640	9264
668	18657	9230
669	18682	9201
670	18701	9169
671	18716	9135
672	18740	9105
673	18762	9074
674	18786	9045
675	18817	9019
676	18843	8990
677	18874	8964
678	18901	8935
679	18930	8908
680	18950	8877
681	18978	8849
682	19002	8819
683	19023	8788
684	19048	8759
685	19065	8726
686	19090	8697
687	19112	8667
688	19135	8637
689	19154	8605
690	19166	8571
691	19198	8545
692	19225	8516
693	19250	8487
694	19280	8461
695	19304	8431
696	19318	8398
697	19338	8367
698	19358	8336
699	19379	8305
700	19406	8277
701	19432	8249
702	19452	8218
703	19478	8189
704	19498	8159
705	19520	8129
706	19552	8103
707	19583	8076
708	19599	8044
709	19617	8012
710	19633	7980
711	19664	7954
712	19685	7923
713	19717	7898
714	19744	7870
715	19769	7841
716	19788	7810
717	19804	7778
718	19820	7746
719	19851	7720
720	19879	7692
721	19901	7662
722	19929	7635
723	19945	7603
724	19973	7576
725	19996	7546
726	20036	7523
727	20056	7493
728	20079	7464
729	20112	7438
730	20149	7414
731	20175	7386
732	20194	7356
733	20223	7329
734	20247	7299
735	20278	7273
736	20306	7246
737	20335	7219
738	20359	7190
739	20383	7161
740	20423	7138
741	20447	7109
742	20469	7080
743	20489	7050
744	20514	7021
745	20536	6992
746	20555	6961
747	20576	6932
748	20596	6902
749	20618	6872
750	20647	6845
751	20671	6817
752	20689	6786
753	20712	6757
754	20731	6727
755	20754	6698
756	20779	6670
757	20801	6641
758	20839	6617
759	20864	6588
760	20885	6559
761	20911	6531
762	20935	6502
763	20966	6476
764	20996	6449
765	21018	6420
766	21036	6390
767	21058	6361
768	21092	6336
769	21125	6310
770	21147	6281
771	21173	6253
772	21187	6221
773	21206	6192
774	21224	6161
775	21249	6133
776	21278	6106
777	21302	6078
778	21318	6047
779	21353	6022
780	21376	5994
781	21393	5964
782	21425	5937
783	21446	5908
784	21476	5882
785	21491	5851
786	21510	5821
787	21531	5792
788	21548	5762
789	21587	5738
790	21604	5708
791	21620	5678
792	21641	5649
793	21673	5623
794	21698	5595
795	21718	5566
796	21746	5538
797	21763	5509
798	21790	5481
799	21807	5451
800	21831	5423
801	21856	5395
802	21876	5366
803	21899	5338
804	21922	5310
805	21941	5281
806	21962	5252
807	21986	5224
808	22005	5195
809	22021	5165
810	22044	5137
811	22065	5108
812	22096	5082
813	22114	5053
814	22142	5026
815	22164	4997
816	22199	4972
817	22221	4944
818	22248	4916
819	22269	4888
820	22301	4862
821	22321	4833
822	22347	4806
823	22375	4779
824	22392	4749
825	22407	4720
826	22438	4693
827	22462	4666
828	22476	4636
829	22492	4606
830	22510	4577
831	22553	4554
832	22573	4525
833	22602	4498
834	22624	4470
835	22641	4441
836	22658	4412
837	22675	4383
838	22692	4354
839	22717	4327
840	22734	4298
841	22748	4268
842	22775	4241
843	22787	4211
844	22807	4183
845	22841	4157
846	22858	4129
847	22874	4100
848	22891	4071
849	22903	4041
850	22921	4013
851	22937	3984
852	22959	3956
853	22977	3928
854	23004	3901
855	23021	3872
856	23031	3843
857	23052	3815
858	23078	3788
859	23097	3760
860	23128	3733
861	23160	3707
862	23180	3679
863	23198	3651
864	23229	3625
865	23247	3597
866	23276	3570
867	23289	3541
868	23310	3514
869	23338	3487
870	23351	3458
871	23373	3430
872	23392	3403
873	23415	3375
874	23436	3348
875	23454	3320
876	23485	3293
877	23507	3266
878	23533	3239
879	23553	3211
880	23572	3183
881	23592	3156
882	23617	3129
883	23634	3101
884	23657	3074
885	23686	3047
886	23708	3020
887	23727	2992
888	23747	2965
889	23763	2937
890	23777	2908
891	23801	2881
892	23814	2853
893	23832	2825
894	23855	2798
895	23877	2771
896	23894	2743
897	23920	2717
898	23943	2690
899	23965	2662
900	23988	2635
901	24012	2608
902	24035	2581
903	24064	2555
904	24107	2530
905	24129	2503
906	24148	2476
907	24164	2448
908	24186	2421
909	24211	2394
910	24239	2368
911	24264	2341
912	24291	2314
913	24327	2288
914	24359	2262
915	24377	2235
916	24398	2208
917	24423	2181
918	24455	2155
919	24471	2127
920	24489	2100
921	24516	2074
922	24537	2046
923	24567	2020
924	24589	1993
925	24610	1966
926	24629	1939
927	24652	1912
928	24674	1885
929	24704	1859
930	24719	1832
931	24745	1805
932	24764	1778
933	24788	1751
934	24801	1724
935	24824	1697
936	24842	1670
937	24864	1643
938	24887	1616
939	24924	1590
940	24947	1564
941	24979	1538
942	25005	1511
943	25026	1484
944	25054	1458
945	25078	1431
946	25102	1404
947	25118	1377
948	25141	1351
949	25159	1324
950	25175	1297
951	25196	1270
952	25220	1243
953	25236	1216
954	25267	1190
955	25286	1163
956	25312	1137
957	25333	1110
958	25352	1083
959	25385	1057
960	25409	1031
961	25440	1004
962	25465	978
963	25478	951
964	25493	924
965	25516	898
966	25542	871
967	25579	845
968	25603	819
969	25631	792
970	25653	766
971	25672	739
972	25689	712
973	25704	686
974	25730	659
975	25751	633
976	25769	606
977	25784	580
978	25795	553
979	25814	526
980	25829	500
981	25852	473
982	25872	447
983	25893	421
984	25918	394
985	25941	368
986	25960	341
987	25982	315
988	26005	289
989	26044	263
990	26058	236
991	26066	210
992	26073	183
993	26083	157
994	26091	131
995	26101	104
996	26109	78
997	26117	52
998	26123	26
999	26129	0
